,nombre,serving_size,kcal,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
5038,"Cereales listos para comer, Apple Cinnamon Chex, General Mills",100 g,408,6.5g,,0,614.00 mg,0,645.00 mcg,0,16.100 mg,0,1.390 mg,1.200 mg,1613.00 IU,0,0,0,0,0,0,4.80 mcg,1.610 mg,19.4 mg,129.00 IU,0,0,0,323.00 mg,0,29.00 mg,26.00 mg,0,129.00 mg,162.00 mg,0,12.10 mg,4.69 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.80 g,2.0 g,26.00 g,0,0,0,0,0,0,6.45 g,0,4.590 g,1.500 g,0.00 mg,0,3.29 g,0,0,2.20 g
5039,"Frijoles, sin sal, hervidos, cocinados, semillas maduras, blanco",100 g,139,0.4g,0.1g,0,6.00 mg,35.1 mg,81.00 mcg,0.00 mcg,0.140 mg,0.229 mg,0.046 mg,0.118 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.093 mg,0.0 mg,0.00 IU,0.94 mg,0.94 mg,3.5 mcg,90.00 mg,0.287 mg,3.70 mg,63.00 mg,0.636 mg,113.00 mg,561.00 mg,1.3 mcg,1.38 mg,9.73 g,0.408 g,0.602 g,1.176 g,0.106 g,1.483 g,0.380 g,0.271 g,0,0.429 g,0.776 g,0.668 g,0.146 g,0.526 g,0.412 g,0.529 g,0.409 g,0.115 g,0.274 g,0.509 g,25.09 g,6.3 g,0.34 g,0,0,0,0,0,0,0.35 g,0.091 g,0.031 g,0.152 g,0.00 mg,0.0 g,1.75 g,0.00 mg,0.00 mg,63.08 g
5040,"Sopa de hongo rojo y blanco, condensado y de hongo de Campbell",100 g,40,1.6g,0.4g,4mg,706.00 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 mg,0,0,0,0,0.00 mg,0,0.29 mg,0,0,0,48.00 mg,0,0,2.38 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76 g,0.0 g,0.79 g,0,0,0,0,0,0,1.59 g,0.397 g,0.397 g,0.794 g,4.00 mg,0,3.27 g,0,0,88.00 g
5041,"Dulces, dulces de chocolate con leche de M&M, mars snackfood nosotros",100 g,492,21g,13g,14mg,61.00 mg,21.7 mg,8.00 mcg,0.00 mcg,0.270 mg,0.330 mg,0.213 mg,0.079 mg,187.00 IU,56.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.53 mcg,0.025 mg,0.5 mg,0.00 IU,0.36 mg,0.36 mg,4.0 mcg,105.00 mg,0.344 mg,1.11 mg,44.00 mg,0.329 mg,146.00 mg,261.00 mg,3.3 mcg,1.61 mg,4.33 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.19 g,2.8 g,63.68 g,0,0,0,0,0,0,21.13 g,13.080 g,5.183 g,0.921 g,14.00 mg,0.0 g,1.63 g,14.00 mg,143.00 mg,1.70 g
5042,"Pillsbury, masa refrigerada, rollos de canela con glaseado",100 g,330,11g,3.3g,0,780.00 mg,0,0,0,0,0,0,0,1.00 IU,0.00 mcg,0,0,0,0,0,0,0,0.1 mg,0,0,0,0,28.00 mg,0,1.93 mg,0,0,0,0,0,0,4.34 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.42 g,1.4 g,21.34 g,0,0,0,0,0,0,11.27 g,3.250 g,0,0,0.00 mg,0,3.08 g,0,0,27.86 g
5043,"Fórmula infantil, polvo, protección plus, buen comienzo, gerber",100 g,512,26g,11g,0,138.00 mg,123.0 mg,77.00 mcg,77.00 mcg,5.376 mg,2.304 mg,0.717 mg,0.512 mg,1550.00 IU,465.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.70 mcg,0.384 mg,51.0 mg,307.00 IU,4.50 mg,4.50 mg,41.0 mcg,343.00 mg,0.410 mg,7.70 mg,36.00 mg,0.077 mg,195.00 mg,553.00 mg,15.0 mcg,4.10 mg,11.30 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.00 g,0.0 g,57.00 g,0,0,0,0,0,0,26.10 g,10.936 g,9.490 g,5.055 g,0.00 mg,0.0 g,3.70 g,0.00 mg,0.00 mg,2.00 g
5044,"Pollo, crudo, carne, piel y jímeros y cuello, capones",100 g,232,17g,4.9g,87mg,47.00 mg,0,27.00 mcg,0.00 mcg,7.074 mg,1.101 mg,0.183 mg,0.065 mg,905.00 IU,272.00 mcg,0,0,0,0,0,1.01 mcg,0.360 mg,2.6 mg,0,0,0,0,11.00 mg,0.063 mg,1.41 mg,21.00 mg,0.028 mg,181.00 mg,213.00 mg,12.2 mcg,1.32 mg,18.51 g,1.079 g,1.172 g,1.670 g,0.248 g,2.733 g,1.189 g,0.545 g,0,0.934 g,1.369 g,1.514 g,0.495 g,0.733 g,0.902 g,0.666 g,0.776 g,0.209 g,0.603 g,0.913 g,0.08 g,0.0 g,0,0,0,0,0,0,0,16.90 g,4.890 g,7.160 g,3.600 g,87.00 mg,0,0.94 g,0,0,63.66 g
5045,"Pescado, calor seco, cocción, especies mixtas, Pacífico, pez roca",100 g,109,1.6g,0.4g,61mg,89.00 mg,78.7 mg,10.00 mcg,0.00 mcg,2.897 mg,0.404 mg,0.226 mg,0.027 mg,16.00 IU,5.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.59 mcg,0.241 mg,0.0 mg,183.00 IU,0.44 mg,0.44 mg,0.0 mcg,17.00 mg,0.041 mg,0.36 mg,33.00 mg,0.013 mg,248.00 mg,467.00 mg,76.2 mcg,0.43 mg,22.23 g,1.322 g,1.516 g,2.325 g,0.239 g,3.545 g,1.037 g,0.502 g,0,1.060 g,1.835 g,2.188 g,0.707 g,0.935 g,0.843 g,0.923 g,1.014 g,0.296 g,0.798 g,1.106 g,0.00 g,0.0 g,0.00 g,0.00 g,0.00 g,0,0.00 g,0.00 g,0,1.62 g,0.420 g,0.466 g,0.485 g,61.00 mg,0.0 g,1.59 g,0.00 mg,0.00 mg,74.67 g
5051,"Flan, preparado con leche entera, mezcla seca, natillas de caramelo",100 g,113,3g,1.8g,12mg,112.00 mg,0,4.00 mcg,0.00 mcg,0.075 mg,0.282 mg,0.145 mg,0.031 mg,113.00 IU,29.00 mcg,0,16.00 mcg,0,0,0,0.26 mcg,0.034 mg,0.7 mg,36.00 IU,0,0,0,111.00 mg,0.011 mg,0.06 mg,12.00 mg,0.005 mg,84.00 mg,160.00 mg,5.2 mcg,0.35 mg,2.95 g,0.101 g,0.107 g,0.224 g,0.027 g,0.618 g,0.063 g,0.080 g,0,0.178 g,0.289 g,0.234 g,0.074 g,0.143 g,0.286 g,0.161 g,0.134 g,0.041 g,0.143 g,0.197 g,18.68 g,0.0 g,0,0,0,0,0,0,0,3.00 g,1.800 g,0.821 g,0.111 g,12.00 mg,0.0 g,0.74 g,0.00 mg,0.00 mg,74.63 g
5052,"Bebidas, endulzadas, limón, descafeinadas, instantáneas, té",100 g,401,0.7g,0.1g,0,5.00 mg,0,1.00 mcg,0.00 mcg,0.125 mg,0.110 mg,0.000 mg,0.011 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.015 mg,0.0 mg,0,0.00 mg,0.00 mg,0.0 mcg,2.00 mg,0.010 mg,0.21 mg,3.00 mg,2.965 mg,2.00 mg,169.00 mg,0.6 mcg,0.03 mg,0.12 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.55 g,0.0 g,95.29 g,0,0,0,0,0,0,0.73 g,0.091 g,0.027 g,0.209 g,0.00 mg,0.0 g,0.47 g,5.00 mg,0.00 mg,0.13 g
5053,"Encurtidos, dulces, con coliflor de cebolla mostaza, chowchow",100 g,121,0.9g,0.1g,0,527.00 mg,4.0 mg,5.00 mcg,0.00 mcg,0.000 mg,0.067 mg,0.020 mg,0.000 mg,90.00 IU,5.00 mcg,10.00 mcg,38.00 mcg,22.00 mcg,222.00 mcg,0,0.00 mcg,0.010 mg,6.0 mg,0.00 IU,0.16 mg,0.16 mg,61.6 mcg,23.00 mg,0.092 mg,1.40 mg,21.00 mg,0.085 mg,22.00 mg,200.00 mg,2.0 mcg,0.23 mg,1.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.64 g,1.5 g,23.88 g,0,0,0,0,0,0,0.90 g,0.149 g,0.170 g,0.397 g,0.00 mg,0.0 g,2.06 g,0.00 mg,0.00 mg,68.90 g
5054,"Bebidas, endulzadas, a base de leche, listas para beber, café",100 g,71,1.4g,,5mg,26.00 mg,0.0 mg,0.00 mcg,0.00 mcg,1.320 mg,0.330 mg,0.193 mg,0.043 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.51 mcg,0.000 mg,0.0 mg,1.00 IU,0.01 mg,0.01 mg,0.1 mcg,74.00 mg,0.002 mg,0.04 mg,9.00 mg,0.012 mg,59.00 mg,175.00 mg,0.0 mcg,0.26 mg,1.98 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.60 g,0.0 g,10.67 g,0.00 g,0.00 g,0.24 g,2.92 g,0.00 g,7.51 g,1.38 g,0.000 g,0.293 g,0.038 g,5.00 mg,0.0 g,0.47 g,28.00 mg,0.00 mg,83.56 g
5055,"Babyfood, niños pequeños, puré de papas cheddar y brócoli",100 g,48,1.5g,0.9g,4mg,176.00 mg,5.8 mg,6.00 mcg,0.00 mcg,0.419 mg,0.194 mg,0.020 mg,0.030 mg,84.00 IU,13.00 mcg,2.00 mcg,28.00 mcg,0.00 mcg,98.00 mcg,0,0.01 mcg,0.089 mg,1.5 mg,0.00 IU,0.09 mg,0.09 mg,8.1 mcg,20.00 mg,0.060 mg,0.16 mg,8.00 mg,0.056 mg,24.00 mg,118.00 mg,0.5 mcg,0.16 mg,1.11 g,0.034 g,0.051 g,0.169 g,0.010 g,0.218 g,0.028 g,0.029 g,0,0.050 g,0.077 g,0.072 g,0.021 g,0.051 g,0.070 g,0.053 g,0.038 g,0.015 g,0.041 g,0.063 g,7.47 g,1.2 g,1.17 g,0.13 g,0.00 g,0.14 g,0.02 g,0.02 g,0.07 g,1.47 g,0.875 g,0.370 g,0.092 g,4.00 mg,0.0 g,0.98 g,0.00 mg,0.00 mg,88.97 g
5056,"Muslo de pavo, tostado, cocido, carne y piel, preestimado",100 g,157,8.5g,2.7g,62mg,437.00 mg,0,6.00 mcg,0.00 mcg,2.409 mg,0.812 mg,0.255 mg,0.083 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.24 mcg,0.230 mg,0.0 mg,0,0,0,0,8.00 mg,0.139 mg,1.51 mg,17.00 mg,0.015 mg,171.00 mg,241.00 mg,27.9 mcg,4.12 mg,18.80 g,1.183 g,1.317 g,1.811 g,0.205 g,3.019 g,1.057 g,0.571 g,0,0.954 g,1.471 g,1.727 g,0.532 g,0.737 g,0.838 g,0.830 g,0.824 g,0.210 g,0.722 g,0.984 g,0.00 g,0.0 g,0,0,0,0,0,0,0,8.54 g,2.650 g,2.530 g,2.350 g,62.00 mg,0,2.06 g,0,0,70.60 g
5057,"Bebida alcohólica, cabernet sauvignon, rojo, mesa, vino",100 g,83,0g,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60 g,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,10.5 g,0.29 g,0,0,86.56 g
5058,"Cereales, seco, cocción de 10 minutos, regular, crema de trigo",100 g,370,1.5g,0.2g,0,7.00 mg,23.1 mg,121.00 mcg,87.00 mcg,4.200 mg,0.518 mg,0.200 mg,0.500 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,16.00 mcg,0,0.00 mcg,0.108 mg,0.0 mg,0.00 IU,0.11 mg,0.11 mg,0.5 mcg,606.00 mg,0.206 mg,28.60 mg,27.00 mg,0,115.00 mg,120.00 mg,20.0 mcg,0.88 mg,10.50 g,0.367 g,0.455 g,0.495 g,0.237 g,3.903 g,0.406 g,0.242 g,0,0.461 g,0.796 g,0.271 g,0.196 g,0.568 g,1.285 g,0.593 g,0.330 g,0.145 g,0.334 g,0.510 g,76.50 g,3.8 g,0.20 g,0,0,0,0,0,0.20 g,1.50 g,0.238 g,0.205 g,0.829 g,0.00 mg,0.0 g,0.60 g,0.00 mg,0.00 mg,10.90 g
5071,"Jugo de naranja, sin diluir, sin azúcar, concentrado congelado",100 g,148,0.3g,0.1g,0,7.00 mg,20.0 mg,77.00 mcg,0.00 mcg,1.093 mg,0.732 mg,0.175 mg,0.275 mg,264.00 IU,13.00 mcg,19.00 mcg,53.00 mcg,191.00 mcg,333.00 mcg,0,0.00 mcg,0.260 mg,144.8 mg,0.00 IU,0.60 mg,0.60 mg,0.4 mcg,38.00 mg,0.059 mg,0.33 mg,35.00 mg,0.116 mg,61.00 mg,629.00 mg,0.4 mcg,0.16 mg,2.40 g,0.069 g,0.309 g,0.437 g,0.013 g,0.146 g,0.043 g,0.020 g,0.000 g,0.030 g,0.053 g,0.062 g,0.010 g,0.043 g,0.376 g,0.079 g,0.040 g,0.009 g,0.023 g,0.046 g,35.19 g,1.0 g,29.68 g,7.55 g,0.00 g,6.58 g,0.00 g,0.00 g,15.55 g,0.25 g,0.059 g,0.050 g,0.063 g,0.00 mg,0.0 g,1.60 g,0.00 mg,0.00 mg,60.57 g
5072,"Frijoles, sin sal, hervidos, cocinadas, semillas maduras, negros",100 g,132,0.5g,0.1g,0,1.00 mg,32.6 mg,149.00 mcg,0.00 mcg,0.505 mg,0.242 mg,0.059 mg,0.244 mg,6.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.069 mg,0.0 mg,0.00 IU,0.87 mg,0.87 mg,3.3 mcg,27.00 mg,0.209 mg,2.10 mg,70.00 mg,0.444 mg,140.00 mg,355.00 mg,1.2 mcg,1.12 mg,8.86 g,0.372 g,0.549 g,1.072 g,0.096 g,1.351 g,0.346 g,0.247 g,0,0.391 g,0.708 g,0.608 g,0.133 g,0.479 g,0.376 g,0.482 g,0.373 g,0.105 g,0.250 g,0.464 g,23.71 g,8.7 g,0.32 g,0,0,0,0,0,0,0.54 g,0.139 g,0.047 g,0.231 g,0.00 mg,0.0 g,1.15 g,0.00 mg,0.00 mg,65.74 g
5137,"Aderezo de ensalada, aderezo sin grasa Kraft Miracle Whip sin grasa",100 g,84,2.7g,0.6g,9mg,788.00 mg,0,0,0,0,0,0,0,69.00 IU,0,0,0,0,0,0,0,0,0.0 mg,0,0,0,0,6.00 mg,0,0.12 mg,0,0,5.00 mg,49.00 mg,0,0,0.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.50 g,1.9 g,10.30 g,0,0,0,0,0,0,2.70 g,0.600 g,0,0,9.00 mg,0,1.90 g,0,0,78.70 g
5138,"Aderezo de ensalada, aderezo de mayonesa de mayo kraft de mayonesa",100 g,64,0g,,0,750.00 mg,9.0 mg,4.00 mcg,0.00 mcg,0.010 mg,0,0.000 mg,0.008 mg,50.00 IU,2.00 mcg,0.00 mcg,30.00 mcg,0.00 mcg,27.00 mcg,0,0.00 mcg,0.002 mg,0.0 mg,0.00 IU,2.19 mg,2.19 mg,0.0 mcg,6.00 mg,0.019 mg,0.10 mg,2.00 mg,0,27.00 mg,50.00 mg,2.6 mcg,0.07 mg,0.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.80 g,2.0 g,6.80 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,2.20 g,0.00 mg,0.00 mg,81.80 g
5143,"Carne de cerdo, cruda, solo delgada separable, entera, pierna (jamón), fresca",100 g,136,5.4g,1.9g,68mg,55.00 mg,72.3 mg,9.00 mcg,0.00 mcg,5.338 mg,0.805 mg,0.228 mg,0.875 mg,6.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.71 mcg,0.500 mg,0.9 mg,23.00 IU,0.17 mg,0.17 mg,0.0 mcg,6.00 mg,0.075 mg,1.01 mg,25.00 mg,0.029 mg,229.00 mg,369.00 mg,35.4 mcg,2.27 mg,20.48 g,1.193 g,1.273 g,1.900 g,0.261 g,3.206 g,0.972 g,0.818 g,0,0.959 g,1.643 g,1.842 g,0.542 g,0.818 g,0.823 g,0.846 g,0.935 g,0.260 g,0.714 g,1.111 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.41 g,1.870 g,2.440 g,0.580 g,68.00 mg,0.0 g,1.05 g,0.00 mg,0.00 mg,72.90 g
5144,"Frijoles, sin sal, semillas hervidas, cocidas, maduras, rosa",100 g,149,0.5g,0.1g,0,2.00 mg,36.9 mg,168.00 mcg,0.00 mcg,0.570 mg,0.299 mg,0.063 mg,0.257 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.175 mg,0.0 mg,0.00 IU,0.98 mg,0.98 mg,3.7 mcg,52.00 mg,0.271 mg,2.30 mg,65.00 mg,0.548 mg,165.00 mg,508.00 mg,1.4 mcg,0.96 mg,9.06 g,0.380 g,0.561 g,1.095 g,0.099 g,1.381 g,0.354 g,0.252 g,0,0.400 g,0.723 g,0.622 g,0.136 g,0.490 g,0.384 g,0.493 g,0.381 g,0.107 g,0.255 g,0.474 g,27.91 g,5.3 g,0.36 g,0,0,0,0,0,0,0.49 g,0.126 g,0.042 g,0.210 g,0.00 mg,0.0 g,1.34 g,0.00 mg,0.00 mg,61.20 g
5147,"Bocadillos, mantequilla de maní, barras de granos enteros de Kudos, M&M Mars",100 g,463,21g,10g,0,268.00 mg,0,0,0,0,0,0,0,71.00 IU,0,0,0,0,0,0,0,0,0.3 mg,0,0,0,0,871.00 mg,0,0.89 mg,0,0,0,0,0,0,5.88 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.69 g,2.6 g,44.29 g,0,0,0,0,0,0,20.78 g,10.411 g,0,0,0.00 mg,0,1.43 g,0,0,7.00 g
5148,"Muffins, tostados, tipo tostador con pasas, salvado de trigo",100 g,313,9.4g,1.5g,9mg,527.00 mg,0,30.00 mcg,23.00 mcg,2.317 mg,0.180 mg,0.287 mg,0.204 mg,190.00 IU,56.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,48.00 mcg,0,0.02 mcg,0.056 mg,0.0 mg,0,0.98 mg,0.98 mg,17.4 mcg,39.00 mg,0.120 mg,2.83 mg,21.00 mg,0.433 mg,284.00 mg,177.00 mg,20.3 mcg,0.44 mg,5.50 g,0.230 g,0.325 g,0.460 g,0.106 g,1.277 g,0.225 g,0.135 g,0,0.219 g,0.394 g,0.250 g,0.094 g,0.263 g,0.412 g,0.293 g,0.197 g,0.074 g,0.179 g,0.251 g,55.50 g,8.2 g,23.07 g,0,0,0,0,0,0,9.40 g,1.500 g,2.221 g,4.918 g,9.00 mg,0.0 g,2.60 g,0.00 mg,0.00 mg,27.00 g
5150,"Concentrado de proteína de soja, producido por extracción de alcohol",100 g,328,0.5g,0.1g,0,3.00 mg,0,340.00 mcg,0.00 mcg,0.716 mg,0.057 mg,0.142 mg,0.316 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.134 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,363.00 mg,0.976 mg,10.78 mg,315.00 mg,4.190 mg,839.00 mg,2202.00 mg,0.8 mcg,4.40 mg,63.63 g,2.677 g,4.642 g,7.249 g,0.886 g,12.013 g,2.688 g,1.578 g,0,2.942 g,4.917 g,3.929 g,0.814 g,3.278 g,3.298 g,3.369 g,2.474 g,0.835 g,2.301 g,3.064 g,25.41 g,5.5 g,20.00 g,0,0,0,0,0,0,0.46 g,0.052 g,0.079 g,0.201 g,0.00 mg,0.0 g,4.70 g,0.00 mg,0.00 mg,5.80 g
5151,"Salsa, maní, azúcar, agua, hecho de coco, maní",100 g,179,6.3g,3.5g,0,319.00 mg,15.5 mg,4.00 mcg,0.00 mcg,1.355 mg,0.130 mg,0.040 mg,0.070 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.085 mg,0.0 mg,0.00 IU,0.94 mg,0.94 mg,1.0 mcg,9.00 mg,0.063 mg,0.38 mg,19.00 mg,0.500 mg,35.00 mg,99.00 mg,2.7 mcg,0.30 mg,2.02 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.46 g,1.1 g,18.80 g,4.95 g,0.00 g,4.75 g,0.00 g,2.20 g,6.90 g,6.34 g,3.530 g,1.355 g,1.135 g,0.00 mg,0.0 g,1.11 g,0.00 mg,0.00 mg,62.08 g
5152,"Bebida alcohólica, Sauvignon Blanc, blanco, mesa, vino",100 g,81,0g,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05 g,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,10.5 g,0.18 g,0,0,87.16 g
5153,"Pizza, cocida, congelada, corteza regular, pepperoni topping",100 g,274,13g,4.8g,27mg,590.00 mg,26.3 mg,75.00 mcg,46.00 mcg,3.235 mg,0.274 mg,0.330 mg,0.310 mg,229.00 IU,69.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,26.00 mcg,0,0.61 mcg,0.151 mg,1.9 mg,0.00 IU,0.96 mg,0.96 mg,7.1 mcg,168.00 mg,0.114 mg,2.43 mg,27.00 mg,0.354 mg,196.00 mg,239.00 mg,20.1 mcg,1.52 mg,14.38 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.69 g,2.0 g,3.39 g,1.12 g,0.11 g,0.95 g,0.36 g,0.85 g,0.00 g,13.13 g,4.827 g,4.100 g,2.700 g,27.00 mg,0.0 g,2.39 g,0.00 mg,0.00 mg,45.41 g
5154,"Pollo, guisado, cocinado, solo carne, carne ligera, guiso",100 g,213,8g,2g,70mg,58.00 mg,0,4.00 mcg,0.00 mcg,8.538 mg,0.690 mg,0.196 mg,0.094 mg,73.00 IU,22.00 mcg,0,0,0,0,0,0.27 mcg,0.390 mg,0.0 mg,0,0,0,0,14.00 mg,0.085 mg,1.19 mg,23.00 mg,0.020 mg,225.00 mg,199.00 mg,28.7 mcg,0.83 mg,33.04 g,1.803 g,1.993 g,2.944 g,0.423 g,4.948 g,1.623 g,1.025 g,0,1.744 g,2.479 g,2.807 g,0.914 g,1.311 g,1.359 g,1.136 g,1.396 g,0.386 g,1.115 g,1.639 g,0.00 g,0.0 g,0,0,0,0,0,0,0,7.98 g,1.980 g,2.690 g,1.890 g,70.00 mg,0,1.19 g,0,0,57.79 g
5161,"Maíz, sin preparación, granos sobre mazorca, congelado, amarillo, dulce",100 g,98,0.8g,0.1g,0,5.00 mg,0,40.00 mcg,0.00 mcg,1.681 mg,0.293 mg,0.088 mg,0.103 mg,244.00 IU,12.00 mcg,21.00 mcg,61.00 mcg,149.00 mcg,897.00 mcg,0,0.00 mcg,0.179 mg,7.2 mg,0.00 IU,0.09 mg,0.09 mg,0.4 mcg,4.00 mg,0.051 mg,0.68 mg,32.00 mg,0.158 mg,87.00 mg,294.00 mg,0.8 mcg,0.70 mg,3.28 g,0.300 g,0.133 g,0.248 g,0.027 g,0.647 g,0.129 g,0.090 g,0,0.132 g,0.354 g,0.139 g,0.068 g,0.152 g,0.297 g,0.156 g,0.132 g,0.023 g,0.125 g,0.188 g,23.50 g,2.8 g,3.78 g,0.56 g,0.00 g,0.59 g,0.00 g,0.21 g,2.41 g,0.78 g,0.120 g,0.228 g,0.367 g,0.00 mg,0,0.65 g,0,0,71.79 g
5162,"Cordero, cocinado, grasa externa, fresca, importada, australiana",100 g,538,52g,27g,81mg,58.00 mg,0,0,0,4.300 mg,0.520 mg,0.230 mg,0.082 mg,0,0,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0,0.342 mg,0.0 mg,0.00 IU,0,0,0,12.00 mg,0.071 mg,1.98 mg,20.00 mg,0.006 mg,148.00 mg,207.00 mg,5.0 mcg,2.13 mg,16.90 g,0.961 g,1.008 g,1.387 g,0.173 g,2.255 g,0.892 g,0.442 g,0,0.703 g,1.206 g,1.289 g,0.408 g,0.628 g,0.716 g,0.600 g,0.690 g,0.175 g,0.528 g,0.757 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,52.30 g,26.800 g,20.337 g,3.115 g,81.00 mg,0.0 g,0.75 g,0.00 mg,0.00 mg,27.09 g
5163,"Cereales, sin sal, cocinados con agua, crema de arroz",100 g,52,0.1g,,0,1.00 mg,0.8 mg,3.00 mcg,0.00 mcg,1.039 mg,0.076 mg,0.018 mg,0.071 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.027 mg,0.0 mg,0.00 IU,0.02 mg,0.02 mg,0.0 mcg,1.00 mg,0.034 mg,3.96 mg,3.00 mg,0.144 mg,17.00 mg,20.00 mg,3.0 mcg,0.16 mg,0.90 g,0.036 g,0.072 g,0.080 g,0.015 g,0.140 g,0.050 g,0.026 g,0,0.015 g,0.073 g,0.037 g,0.026 g,0.037 g,0.037 g,0.040 g,0.044 g,0.013 g,0.049 g,0.057 g,11.40 g,0.1 g,0.04 g,0,0,0,0,0,0,0.10 g,0.027 g,0.031 g,0.027 g,0.00 mg,0.0 g,0.10 g,0.00 mg,0.00 mg,87.50 g
5164,"Frijoles de yardilla, con sal, semillas hervidas, cocidas y maduras",100 g,118,0.5g,0.1g,0,241.00 mg,0,146.00 mcg,0.00 mcg,0.551 mg,0.398 mg,0.064 mg,0.212 mg,16.00 IU,1.00 mcg,0,0,0,0,0,0.00 mcg,0.095 mg,0.4 mg,0.00 IU,0,0,0,42.00 mg,0.225 mg,2.64 mg,98.00 mg,0.487 mg,181.00 mg,315.00 mg,2.8 mcg,1.08 mg,8.29 g,0.378 g,0.574 g,1.001 g,0.091 g,1.570 g,0,0.257 g,0,0.337 g,0.635 g,0.561 g,0.118 g,0.484 g,0.373 g,0.415 g,0.316 g,0.102 g,0.268 g,0.395 g,21.09 g,3.8 g,0,0,0,0,0,0,0,0.45 g,0.116 g,0.039 g,0.193 g,0.00 mg,0,1.37 g,0,0,68.80 g
