,nombre_del_platillo,ingredientes,kcal,carbohydrate,protein,total_fat,sugars,fiber
802,Ensalada de aguacate,"2 aguacates: pelados, picados y cortados en picada, 1 cebolla dulce, picada, 1 pimiento verde, picado, 1 tomate maduro grande, picado, ¼ taza de cilantro fresco picado, ½ lima, expulsado, sal y pimienta al gusto",138,10,2,10,3,6
803,Budín de aguacate de chocolate,"2 aguacates grandes: pelados, picotes y en cubos, ½ taza de cacao sin azúcar en polvo, ½ taza de azúcar morena, ? taza de leche de coco, 2 cucharaditas de extracto de vainilla, 1 canela molida",438,46,5,26,28,13
804,Guacamole mexicano tradicional,"2 aguacates, pelados y picados, 1 taza de tomates picados, ¼ de taza de cebolla picada, ¼ taza de cilantro picado, 2 cucharadas de jugo de limón, 1 jalapeño, sembrada y picada (opcional), sal y pimienta negra molida",195,12,3,15,3,8
805,Sopa de pollo mexicana,"1 ¼ libras sin piel, mitades de pechuga de pollo deshuesadas, 2 cucharadas de mezcla de condimentos de tacos, dividido, 1 cucharada de aceite vegetal, ½ taza de cebolla picada, ½ taza de apio picado, 2 cucharaditas de comino molido, ¼ cucharadita de pimienta negra molida, 3 (14 our)) caldo de pollo, 1 taza de agua, 1 taza de tomates en cubitos, 1 cucharada de cilantro fresco picado",308,12,29,16,3,3
806,Ensalada de pera de Roquefort,"½ taza de nueces, ¼ taza de azúcar blanca",452,33,8,32,21,7
807,"Batido de plátano, aguacate y espinacas","1 plátano, en rodajas, ½ aguacate, pelado y en rodajas, ½ taza de espinacas frescas, ½ taza 1% de leche, 6 cubitos de hielo, 2 cucharaditas de miel, 1 cucharadita de extracto de vainilla",200,28,4,8,14,5
808,Huevos horneados paleo en aguacate,"2 huevos pequeños, 1 aguacate, a la mitad y picada, 2 cucharaditas de cebollino fresco picado, o para sabor, 1 parsil de secado, o para saborear, 1 sal de sal marina y pimienta negra molida al gusto, 2 rodajas de tocino cocido, crujido,",296,9,11,24,1,7
809,Sushi de pepino y aguacate,"1 ¼ tazas de agua, 1 taza de arroz blanco glutinoso crudo (arroz de sushi), 3 cucharadas de vinagre de arroz, 1 sal pizca, 4 sábanas nori (algas secas), ½ pepino medio, en rodajas en tiras finas, 1 aguacate mediano - pelado y picot rebanado",173,29,3,5,1,3
810,Baleadas hondureño,"2 tazas de harina para todo uso, 1 taza de agua, ½ taza de aceite vegetal, 1 huevo, ½ cucharadita de sal",395,37,10,23,1,6
811,Cóctel de camarones mexicano,"2 libras de camarones cocidos, pelados y deshuesados, ½ taza de cebolla roja finamente picada, ¼ de taza de cilantro fresco, picado, 1 cucharada de ajo triturado, 1 ½ tazas de tomate y cóctel de jugo de almeja, ¼ de taza de ketchup, ¼ taza de jugo de limón fresco, ¼ taza preparada rábano picante, 1 cucharadita de salsa de pimiento picante, o al gusto, sal al gusto, 1 aguacate maduro - pelado, picado y picado",259,16,33,7,6,3
812,Batido de aguacate simple,"1 taza de leche, 1 aguacate maduro, pelado y picado, 1 plátano, cortado en trozos, 3 cucharadas de miel",272,36,5,12,26,6
813,Aguacate tomatillo salsa,"6 ounces fresh tomatillos - husked, rinsed, and halved, 1 tablespoon thinly sliced ??serrano chiles, or to taste, 1 large ripe avocado - halved, seeded, and flesh scooped out of peel, ¼ cup packed cilantro leaves, ½  lime, juiced, sal al gusto",91,6,1,7,2,4
814,Salsa de mango de aguacate,"1 aguacate: pelado, picada y cortada en picada, 1 lima, jugo, 1 mango - pelado, sembrado y cortado en cubitos, 1 cebolla roja pequeña, picada, 1 habanero, sembrada y picada, 1 cucharada de cilantro fresco picado, sal al gusto",72,8,1,4,5,3
815,Batido de aguacate filipino,"1 aguacate: pelado, picado y en cubos, 5 cubos de hielo, 3 cucharadas de azúcar blanca, 1 ? tazas de leche, 1 cucharadita de jugo de limón o lima, 1 cucharada de helado de vainilla",355,38,8,19,29,7
816,Salsa de aguacate de frijoles negros,"1 (15 onzas) de los frijoles negros (como Bush's®), enjuagados y drenados, 1 (11 onzas) Cañón dulce de núcleo entero, drenado, 4 tomates romaníes (ciruela), semillas y picadas, 1 pimienta roja pequeña, cortada , 1 pimienta de jalapeño, sembrada y picada, ? taza de cilantro fresco picado, ¼ de taza de cebolla roja en cubitos, ¼ taza de jugo de lima fresca, 2 cucharadas de vinagre de vino tinto, 1 cucharadita de sal, ½ cucharadita de pimienta negra molida, 2 vocados, aficionados",150,19,5,6,3,7
817,"Ensalada de espinacas con pollo, aguacate y queso de cabra","¼ de taza de piñones, 8 tazas de espinacas picadas, 1 taza de tomates cereza a la mitad, 1 ½ tazas de pollo cocido picado, 1 aguacate grande - pelado, picado y en rodajas, ½ taza de granos de maíz, ? taza de queso de cabra crujido",464,18,26,32,2,8
818,Mejor guacamole,"2 aguacates, ½ limón, jugo, 2 cucharadas de cebolla picada, ½ cucharadita de sal, 2 cucharadas de aceite de oliva",61,3,1,5,0,2
819,Pan rápido de aguacate,"2 ? Tazas de harina para todo uso, 1 ½ cucharaditas de bicarbonato de sodio, 1 cucharadita de polvo de hornear, ¾ cucharadita de sal, ¾ cucharadita de canela molida, ¾ cucharadita de pila molida, ½ taza de mantequilla, suavizado, 1 ? tazas de azúcar blanca, 3 huevos, 1 ½ ½ ½ ½ tazas puré de aguacate maduro, ¾ taza de suero de leche, ¾ taza de nueces picadas, ½ taza de pasas, 1 cucharada de ralladura de naranja rallada",267,38,4,11,22,2
820,Aguacates horneados rellenos de pollo,"4 aguacates, a la mitad y picada, 2 pechugas de pollo cocidas, rallado, 4 onzas de queso crema, suavizado, ¼ de taza de tomates picados, ¼ cucharadita de sal, ¼ cucharadita de pimienta negra molida, 1 pimienta de cayena, ½ taza de queso parmesano rallado, o más a gusto",341,9,20,25,1,7
821,Pizza mexicana I,"1 (16 onzas) de frijoles refritos, 1 libra de carne molida, 1 (1.25 onzas) Mezcla de condimento de tacos, 1 cucharada de aceite vegetal, 4 (6 pulgadas) tortillas de maíz, queso cheddar triturado de 8 onzas, 8 cucharadas de crema agria, 2 romana (ciruela) Tomates, picado, 2 cebolla verde, picada, 1 (4 onzas) Cadros verdes en cubitos, drenados, ½ aguacate, cortado en cubitos, 1 cucharada de aceitunas negras, en rodajas",768,42,42,48,4,10
822,Tacos de Carne Asada,"1 ½ libras de solomillo de carne de res deshuesada, cortado en rodajas delgadas del tamaño de un bocado, ½ cucharadita de sal, 1 cucharadita de pimiento negro recién molido, pimiento rojo triturado al sabor, 1 lima, 1 (28 onzas) Tomatillos, 2 pepeos jalapeños frescos, sembrados , 4 cucharadas de aceite de canola, dividido, 1 (10.5 onzas) caldo de carne de res, 12 (6 pulgadas) tortillas de maíz, ½ cebolla grande, picada, 2 tomates, picado, 1 aguacate - pelado, picado y en rodajas, 1 bunch fresco cilantro, Picado, 1 limón",487,40,30,23,5,13
823,Rollo de sushi salmón ahumado,"2 tazas de arroz de sushi japonés, 6 cucharadas de vinagre de vino de arroz, 6 hojas nori (algas secas), 1 aguacate - pelado, picado y rodeado, 1 pepino, pelado y en rodajas, 8 onzas salmón ahumado, cortadas en tiras largas, 2 cucharadas de pasta wasabi wasabi wasabi wasabi wasabi",287,45,11,7,0,4
824,Huevos Rellenos de aguacate,"6 huevos duros, pelados y a la mitad, 1 aguacate - pelado, picado y cortado en cubitos, 3 rodajas de tocino de pavo cocido, picado, dividido, 2 ½ cucharadas de mayonesa, 2 cucharaditas de jugo de lima, 1 conjo con ajo, triturado, ? Cayenne cayenne cayenne cayenne cayenne cayenne cayenne cayenne cayenne cayenne cayenne cayenne cayenne cayenne cayenne cayenne cayenne 6 cayene cayene cayen en pis. , sal marina al gusto, 1 pimienta de jalapeño, en rodajas (opcionales), 1 salsa picante de tablero o al gusto (opcional)",109,2,5,9,1,1
825,Sopa de pollo y arroz mexicanos (Sopa de Pollo y Arroz),"2 ½ cuartos de caldo de pollo, 2 libras de piel, patas de pollo enteras de hueso (baquetas y muslos), 3 zanahorias, picado, 1 cebolla blanca, picado, 2 tallos de apio, picado, ¼ de taza de cilantro fresco, 1 ajo con ajo de clavo , 1 cucharada de menta fresca picada, sal y pimienta negra molida al gusto, 3 tazas de arroz cocido, 1 aguacate, pelado y picado, 2 pimientos serrano, picados, 2 limas, acuartelados",327,26,22,15,3,4
826,Ensalada de rúcula fácil,"4 tazas de hojas jóvenes de rúcula, enjuagadas y secas, 1 taza de tomates cereza, a la mitad, a la mitad de ¼ de taza de piñones, 2 cucharadas de aceite de uva o aceite de oliva, 1 cucharada de vinagre de arroz, sal al sabor, pimienta negra recién molida, ¼ de taza parmesana rejilla queso, 1 aguacate grande - pelado, picado y en rodajas",271,10,6,23,1,6
827,Sushi de California Roll,"1 taza de arroz blanco de grano corto crudo, 1 taza de agua, ¼ taza de vinagre de arroz, 1 cucharada de azúcar blanca, ½ taza de imitación de carne de cangrejo, finamente picada, ¼ taza de mayonesa, 8 sábanas nori (algas secas), 2 ½ cucharadas de semillas de sésamo, 1 semillas de sésamo, 1 pepino, cortado en lanzas finas, 2 aguacates - picados, pelados y cortados por el camino largo",238,24,4,14,3,4
828,CEVICHE-ESTILLO DE AVOCACO-SARITA,"2 libras de camarones grandes: pelados, deshuesados ??y picados, ¾ taza de jugo de lima fresca, 5 tomates romaníes (ciruela), en cubitos, 1 cebolla blanca, picada, ½ taza de cilantro fresco picado, 1 cucharada de salsa de acoplamiento, 1 cucharada de ketchup, 1 cubierta caliente salsa de pimienta, sal y pimienta al gusto, 1 aguacate - pelado, picado y cortado en cubitos, 16 galletas saladas",359,24,41,11,6,6
829,Tostadas de aguacate (vegano),"4 rodajas de pan integral, 1 aguacate, a la mitad y picada, 2 cucharadas de perejil fresco picado, 1 ½ cucharaditas de aceite de oliva virgen extra, ½ limón, jugo, ½ cucharadita de sal, ½ cucharadita de pimienta negra molida, ½ teaspoon en polvo, ½ cucharadita de ajo",178,17,5,10,2,6
830,Quesadillas i,"10 (6 pulgadas) tortillas de maíz, 2 tazas de queso mozzarella rallado, 1 (2 onzas) Olivas negras en rodajas, 2 aguacates - pelados, picados y en rodajas, 2 cucharaditas de salsa de pimiento picante",413,32,15,25,2,9
831,Tostadas de aguacate con huevo,"1 cucharadita de mantequilla, 2 huevos, 2 rodajas de pan multigrano, 1 aguacate maduro, picadura, pelada, 1 cucharadita de jugo de limón, o al gusto, 1 pimienta de cayena, sal marina al sabor, pimienta negra molida al gusto",339,21,12,23,3,9
832,"Ensalada de col rizada, quinua y aguacate con vinagreta dijon de limón","? Copa de quinua, 1 ? tazas de agua, 1 col rizada, roto en trozos del tamaño de un bocado, ½ aguacate - pelado, picada y picada, ½ taza de pepino picado, ? taza de pimiento rojo picado, 2 colas cebolla roja picada, 1 cucharada de cucharadas queso feta desmenuzado",356,35,9,20,1,6
833,Increíble sándwich de pavo,"2 rodajas de pan de trigo integral, tostada (opcional), 1 cucharada de mayonesa, 2 cucharaditas de mostaza preparada al estilo Dijon, 3 rodajas de pechuga de pavo ahumado, 2 cucharadas de guacamole, ½ taza de ensalada mixta, ¼ de taza de frijoles, ¼ de avengen - pelado, picante, picante y en rodajas, 3 onzas de queso Colby-Monterey Jack, en rodajas, 2 rodajas de tomate",829,41,38,57,3,9
834,Aguacates a la parrilla,"¼ de taza de aceite de oliva, o según sea necesario, 1 pimienta de chipotle molida de pizca, o más al gusto, 1 polvo de chile pellizcado, o más al gusto, 4 aguacates, a la mitad y picada",242,9,2,22,1,7
835,Ensalada de taco III,"16 onzas de carne molida delgada, 1 (1.25 onzas) Mezcla de condimento de tacos, 1 cabezal de iceberg lechuga, triturada, 1 cebolla roja, en rodajas, 1 cebolla verde, picado, 1 (15 onzas) puede frijoles pintos, drenados, 1 (15 (15 (15 (15 (15 onza) pueden frijoles de riñón, drenados, 2 tomates grandes, picados, 1 aguacates - pelados, picados y en cubos, 8 onzas de queso cheddar rallado, 1 (16 onzas) chips de maíz de paquete, 1 (16 onzas) de ensalada catalina de botella de botella",961,76,27,61,18,12
836,Sopa de tortilla vegetariana,"2 cucharadas de aceite vegetal, 1 (1 libra) paquete de pimienta congelada y cebolla Mezcla de salteado, 2 dientes de ajo, picado, 3 cucharadas de comino molido, 1 (28 onzas) Tomates triturados, 3 (4 onzas) latas peptas de chile verde picado, Drenado, 4 (14 onzas) latas de caldo vegetal, sal y pimienta al gusto, 1 (11 onzas) de maíz de núcleo entero, 12 onzas de chips de tortilla, 1 taza de queso cheddar triturado, 1 aguacate - pelado, picadizo y picado",328,37,9,16,4,6
837,Tacos fáciles de carne de res ceto,"2 tazas de queso cheddar triturado, carne molida de 1 libra, ½ mezcla de condimentos de tacos de paquete, ½ cucharadita de sal, ¼ cucharadita de pimienta negra molida, 1 aguacate, cortada en cubierta, 1 taza de lechuga triturada, ½ taza de queso cheddar triturado, ½ taza de tomates, date a dados",681,10,41,53,2,4
838,Pavo de aguacate panini,"½ aguacate maduro, ¼ de taza de mayonesa, 2 rollos de chabatta, 1 cucharada de aceite de oliva, dividido, 2 rodajas de queso provolone, 1 taza de hojas de espinacas frescas enteras, divididas, ¼ libra de pecho de pavo ahumado de mezquita en rodajas finas, 2 pimientos rojos asados, en rodajas en tiras",727,42,25,51,4,6
839,Salsa de maíz y aguacate,"3 orejas de maíz fresco, cáscaras y sedas retiradas, 2 aguacates - pelados, picados y en cubos, 1 cebolla roja, fino cortado en cubitos, 1 pimiento rojo, sembrado y picado, 1 cucharada de ajo picado, 1 cucharada de comino molido, 1 cucharadita roja roja triturada hojuelas de pimienta, ¼ taza de cilantro fresco picado, ? vinagre de vino tinto, 2 cucharadas de aceite de oliva, ¼ taza de jugo de lima fresco, sal y pimienta negra al gusto",343,29,5,23,6,10
840,Ensalada de cosecha,"½ cup chopped walnuts, 1 bunch spinach, rinsed and torn into bite-size pieces, ½ cup dried cranberries, ½ cup crumbled blue cheese, 2  tomatoes, chopped, 1  avocado - peeled, pitted and diced, ½  red onion, thinly sliced, 2 cucharadas de mermelada de frambuesa roja (con semillas), 2 cucharadas de vinagre de vino tinto, ? taza de aceite de nuez, pimienta negra recién molida al gusto, sal al gusto",359,22,7,27,13,5
841,Ensalada de camarones tibio,"1 libra de camarones medianos: pelado y DEVESINADO, 2 cucharadas de mantequilla, 2 limones, jues, 2 cabezas de lechuga de mantequilla, 2 tomates, picado, 1 aguacate - pelado, picado y cubierto, 2 tallos de apario, picado, 1 pepino, limpiado y picado, ½ taza de zanahorias ralladas, ? Copa de aderezo de ensalada vinagreta",498,29,37,26,9,12
842,Sopa de aguacate con pollo y lima,"4 (6 pulgadas) tortillas de maíz, julienned, 1 ½ cucharadas de aceite de oliva, 1 cebolla blanca, en rodajas finas, 8 dientes de ajo, cortadas en rodajas finas, 4 pimientos jalapeños frescos, en rodajas, 8 onzas sin piel, mitades de pechuga de pollo sin problemas , Caldo de pollo de 1 cuarto de galón, ¼ taza de jugo de lima fresca, 1 tomate, semillas y cortadas en picada, sal y pimienta negra molida al gusto, 1 aguacate - pelado, picado y cortado en cubitos, ¼ taza de cilantro fresco picado",303,25,17,15,4,7
843,Tostada de aguacate de limón meyer,"2 rodajas de pan de grano integral, ½ aguacate, 2 cucharadas de cilantro fresco picado, o más al gusto, 1 cucharadita de jugo de limón meyer, o para sabor, ¼ cucharadita de ralladura de limón meyer, 1 pimienta de cayena, 1 pellizca de sal marina fina, ¼ cucharadita chia semillas",73,12,4,1,2,2
844,Pescado al horno mexicano,"1 ½ libras de bacalao, 1 taza de salsa, 1 taza de queso cheddar afilado, ½ taza de chips de maíz gruesamente triturados, 1 aguacate - pelado, picado y rodeado, ¼ de taza de crema agria",318,11,28,18,2,3
845,Guacamole fácil nunca olvidado,"3 aguacates: pelados, picados y cortados en picada, 1 cucharada de crema agria, 2 (3 onzas) paquetes de queso crema, suavizado, 2 cucharadas de salsa, 1 sal pizca, 1 pimienta negra molida de tablero, 1 sal de ajo de tablero, 1 cebolla de tablero en polvo",105,4,2,9,0,3
846,aderezo de aguacate,"1 aguacate, pelado y picado, ½ taza de yogurt liso, ¼ de taza de aceite de oliva virgen extra, 3 cucharadas de jugo de limón, 2 dientes de ajo, 1 cucharadita de sal marina, ¼ cucharadita de salsa de pimiento picante, ? buque de pimienta negra",79,3,1,7,1,1
847,Ensalada de huevo y aguacate,"6 huevos duros, pelados, 2 aguacates: pelados, picados y en cubos, ½ taza de cebolla roja picada, 3 cucharadas de encurtidos dulces picados, 1 cucharada de mostaza amarilla preparada, ? taza de mayonesa, sal y pimienta al gusto",293,9,8,25,3,5
848,Absolutamente asombroso ahi,"¾ libra de filete de atún de grado sashimi, cortado en cubitos, ½ taza de pepino en cubitos, 1 aguacates: pelado, picado y picado, ¼ de taza de cebolla verde picada, 1 ½ cucharaditas Aceite de sésamo, ½ taza de salsa de soja",160,6,16,8,1,3
849,Guacamole rápido y fácil,"2 aguacates: pelados, picados y cortados en cubitos, 2 cebollas verdes, picado, 1 cucharada de cilantro fresco picado, 1 cucharadita de sal sazonada, 1 cucharadita de pimienta negra molida, 1 cucharadita de ajo, picada, ½ lima, escupido",183,10,2,15,1,7
850,Plato de botana mexicana,"2 libras de filete de falda de carne, 2 libras de pollo deshuesado, 2 cucharaditas de condimento de fajita, 2 ½ cucharaditas de ajo en polvo, dividido, 2 tazas de frijoles refritos, sal al gusto, limón a sabor, 4 avocades - pelado, picotes y picaduras, 1 taza de aceite de maíz, 24 tortillas de maíz, 1 pimiento verde mediano, picado, 1 cebolla mediana, picada, ? bunch cilantro, picado, 1 paquete (16 onzas) queso americano rallado, 12 onzas crema agria, 2 tomates grandes, picados, 4 pimientos jalapeño en escabeche, en rodajas (opcionales)",688,42,40,40,3,11
851,Ensalada de salsa,"4 grandes tomates maduros, cortados en trozos del tamaño de un bocado, 1 cilantro de racimo, tallos cortados y hojas gruesamente picadas, 1 pimiento verde grande, cortado en trozos del tamaño de un bocado, 1 pimiento rojo grande, cortado en trozos del tamaño de un bocado, 2 pimientos jalapeños, finamente picadas, 3 cebollas verdes, picadas, ½ cebolla roja dulce, picada, 2 aguacates grandes, picados y cortados en trozos de tamaño bocado, 1 lima, juzgado, ½ cucharadita de sal o sabor",214,18,4,14,7,10
852,Postre de aguacate,"1 aguacate, pelado y picado, ½ taza de leche, ¼ taza de azúcar blanca, ½ cucharadita de extracto de vainilla",152,18,2,8,14,3
853,Tazón de desayuno de frijoles negros,"2 cucharadas de aceite de oliva, 4 huevos, batidos, 1 (15 onzas) pueden frijoles negros, drenados y enjuagados, 1 aguacate, pelado y rodeado, ¼ taza de salsa, sal y pimienta negra molida al gusto",651,47,28,39,2,22
854,Salsa de crema de aguacate,"2 aguacates, 2 dientes de ajo, ½ lima, jugo o al gusto, 2 cucharadas de cebolla verde picada, 1 cucharada de cilantro fresco picado, ½ cucharada de estragón fresco picado, 2 cucharadas de mantequilla, ¼ taza de crema espesa, salado",286,10,3,26,1,7
855,Salsa de guacamole verde media,"10 tomatillos frescos, cáscaras retiradas, 2 pimientos jalapeños frescos, tallos retirados, 1 cilantro fresco, tallos recortados, 3 aguacates, pelados y picaduras, 1 cucharada de ajo en polvo, sal al gusto",108,7,2,8,2,4
856,Lomo de cerdo de albaricoque,"2 libras de cerdo, ¼ de taza de mantequilla suavizada, sal y pimienta al gusto, 1 cucharadita de tomillo molido, 2 cucharaditas de ajo en polvo, 1 (18 onzas) conservas de albaricoque de frasco, 2 cucharadas de miel o sabor, ¼ taza de jerez seca",447,63,24,11,43,0
857,Tarta de albaricoque,"2 ½ tazas de harina para todo uso, 1 cucharadita de sal, 1 taza de acortamiento con sabor a mantequilla, 6 cucharadas de agua, o según sea necesario, 1 taza de azúcar blanca, ¼ de taza de harina para todo uso, ¼ cucharadita de canela molida, 1 cucharadita de jugo de limón, 5 tazas de albaricoques frescos, picados y descuartizados, 1 cucharadita de azúcar para rociar, o según lo desee",556,70,6,28,35,3
858,Albaricoque jamón de azúcar morena,"1 (10 libras) jamón de corte en espiral totalmente cocinado, ? taza de azúcar morena, ? taza de mermelada de albaricoque, 1 cucharadita de mostaza seca",784,14,56,56,13,0
859,Cobrante de albaricoque fresco,"1 taza de agua, ¾ taza de azúcar blanca, 1 cucharada de maicena, ¼ cucharadita de canela molida, ? cucharadita",281,46,4,9,27,2
860,Chuletas de cerdo glaseadas de albaricoque,"? Preservas de albaricoque de taza, ? Vino blanco afrutado de taza, como Gewurztraminer, ½ cucharadita de jengibre molido, sal y pimienta al gusto, 2 cucharadas de aceite de oliva, 4 chuletas de cerdo deshuesadas, 1/2 pulgada de espesor",343,19,24,19,13,0
861,Mermelada de albaricoque seca,"4 ½ tazas de albaricoques secos, 4 ½ tazas de agua hirviendo, 1 cucharadita de extracto de vainilla, 1 (1.75 onzas) paquete de fruta en polvo pectina, 7 tazas de azúcar blanca, ¼ de taza de jugo de limón",48,12,0,0,12,0
862,Etiqueta de pollo de olla de cocción lenta,"8 muslos de pollo sin piel sin piel, 2 cebollas grandes, en rodajas finas, 4 zanahorias grandes, en rodajas finas, ½ taza de pasas, ½ taza de albaricoques secos, picados, 2 tazas de caldo de pollo, 2 cucharadas de pasta de tomate, 2 cucharadas de jugo de limón, 2 cucharadas de todo -La harina de propósito, 2 cucharaditas de sal de ajo, 2 cucharaditas de comino molido, 1 ½ cucharaditas de jengibre molido, 1 cucharadita de canela molida, 1 cucharadita",426,57,27,10,14,5
863,Chutney de albaricoque,"½ Ajo de cabeza entera, ¼ cucharadita de aceite de oliva, 1 cebolla grande, picada, 1 cucharada de aceite de oliva, 3 tazas de conservas de albaricoque, 1 taza de vinagre blanco, 2 cucharaditas de jengibre molido, ½ cucharadita",52,13,0,0,9,0
864,Huellas de pulgar de queso crema de albaricoque,"1 ½ tazas de mantequilla, ablandado, 1 ½ tazas de azúcar blanco, 1 (8 onzas) Chein de crema de paquete, suavizado, 2 huevos, 2 cucharadas de jugo de limón, 1 ½ cucharaditas de ralladura de limón, 4 ½ tazas de harina de uso múltiple, 1 ½ teaspoons horneados Polvo, 1 taza de conservas de albaricoque, ? Copa de azúcar de los confitores para la decoración",88,12,1,4,6,0
865,Carne marroquí y estofado de lentejas,"2 cucharadas de aceite vegetal, 2 zanahorias, picado, 1 tallo de apio, picado, 1 cebolla, picado, 4 dientes de ajo, picado, 1 ½ libras de tostado asado, cortado en cubos de 1 pulgada, 1 cucharadita de sal o para probar, 1 teaspoon cúrcuma molida, 1 cucharadita de cebolla en polvo, 1 cucharadita de ajo en polvo, ½ cucharadita de pimienta negra molida, o al gusto, ½ cucharadita de canela molida, ½ cucharadita de jengibre de tierra, ½ cucharadita de comino molido, ½ cucharadita de cilantro molido, ¼ de buque de pizca de tierra, 3 cucharadas de 3 cucharadas pasta de tomate, 4 tazas de caldo de carne de res, 1 cucharada de melaza, 2 hojas de laurel, 1 taza de lentejas rojas secas, ½ taza de albaricoques secos, picados, ½ limón, jugo",417,37,29,17,12,8
866,Pastel de albaricoque seco,"18 onzas de albaricoques secos, 1 ¾ tazas de agua, 1 cucharada de maicena, 1 cucharada de licor de naranja, 1 ¾ tazas de azúcar blanca, 1 pastel de receta para un pastel de masa doble de 9 pulgadas",575,105,5,15,78,6
867,Tagina de pollo de olla instantánea con albaricoques y garbanzos,"1 cucharada de aceite de oliva, 4 muslos de pollo con hueso de piel, 1 cebolla grande, en rodajas, 3 clavos ajo, picado, 1 cucharadita de canela molida, 1 cucharadita de comino molido, 1 cucharadita de cúrcuma molida Pinch Saffron, 1 (15 onzas) Tomates en cubitos, 1 taza de caldo de pollo, ? taza de albaricoques secos a la mitad, sal y pimienta negra molida al gusto, 1 (15 onzas) CAN CAN CAN LA",255,22,17,11,7,4
868,Ensalada de cuscús afrutado,"1 ? Tazas de cuscús seco, 2 tazas de agua hirviendo, ? Copa de arándanos secos endulzados, ? Copa de almendras furtivas, ½ taza de albaricoques secos, picados, 3 cebolletas medianas, en rodajas finas con greens, 1 de costura, sal y pimienta negra molida al gusto",221,38,6,5,13,4
869,Tagina de pollo marroquí,"¼ taza de canela molida, ¼ taza de comino molido, 2 cucharadas de cúrcuma molida, 2 cucharadas de cilantro molido, 2 cucharadas de jengibre molido, 2 cucharadas de menta seca, 1 cucharadas de sal, 2 cucharaditas de pimienta negra",384,36,15,20,22,7
870,Pastel de carne de albaricoque simple,"1 ½ libras carne molida, 1 taza de migas de pan, 1 cebolla pequeña, picado, 1 huevo grande, batido, 2 dientes de ajo, picado, 1 ½ cucharadas de conservas de albaricoque, 1 cucharada de sal kosher, 1 ½ cucharaditas de pimienta negra recién molida",492,55,23,20,34,1
871,Albaricoque pollo al curry,"8 palitos de pollo, sal y pimienta al gusto, 2 cucharadas de aceite de oliva, 3 dientes de ajo, picado, ½ cucharaditas Polvo de curry de Madras, 1 taza de albaricoques secos, 1 cebolla grande, aproximadamente picada, 1 pimiento verde grande, aproximadamente picado, 4 zanahorias, en rodajas finas, 1 chile verde fresco, pimiento picante (opcional), ½ taza de agua picada (opcional)",667,75,40,23,59,9
872,Cuero de albaricoque,"1 cucharadita de jugo de limón, 2 tazas de albaricoques frescos picados y cortados en cubitos, ½ taza de azúcar blanca",40,10,0,0,9,1
873,Albaricoque fresco crujiente,"4 tazas de mitades de albaricoque, ¼ de taza de azúcar blanca, ¾ taza de azúcar morena, ½ taza de harina para todo uso, ½ taza de mantequilla, ¾ taza de avena enrollada",377,52,4,17,36,3
874,Sopa de lentejas de albaricoque,"3 cucharadas de aceite de oliva, 1 cebolla, picado, 2 dientes de ajo, picado, ? taza de albaricoques secos, 1 ½ tazas de lentejas rojas, 5 tazas de pollo caldo, 3 tomates romaníes (ciruela) - pelados, semillas y picadas, ½ teaspoon molido de costado, ½ cucharadita de tomillo seco, sal al gusto, pimienta negra molida al gusto, 2 cucharadas de jugo de limón fresco",263,37,13,7,7,16
875,Barras de granola sin avena y sin gluten (alimentación limpia),"1 ¼ tazas de almendras, divididas, 1 ¼ tazas de semillas de girasol, divididas, 2 tazas de coco sin azúcar, 1 taza de albaricoques secos en cubitos, 1 ½ tazas de aceite de coco, ½ taza de miel, ¼ tazas de canela molida, o según sea necesario, 1 cucharadita de extracto de vainilla , ½ cucharadita de sal",380,18,5,32,12,5
876,Chuletas de cerdo de albaricoque de miel,"4 chuletas de carne de cerdo deshuesadas, sal kosher y pimienta fresca al gusto, 1 cucharada de aceite de oliva, 2 cucharadas de miel, 4 albaricoques frescos, picados y cortados en cuñas, 3 dientes de ajo, picado o sabor, 1 cucharadita de parsley fresca picada",184,13,15,8,12,1
877,Galletas de albaricoque,"1 taza de mantequilla, 1 taza de azúcar blanca, 3 tazas de harina para todo uso, 1 cucharadita de polvo de hornear, ½ cucharadita de sal, 1 huevo, 1 cucharadita de extracto de vainilla, 1 taza de conservas de albaricoque, ? taza de azúcar de los confectores para decoración",204,31,2,8,19,0
878,Albaricoque pastel de café danés,"1 (18.25 onzas) Paquete Mezcla de pastel blanco, 3 huevos, 1 ½ tazas de crema agria, 1 (15 onzas) CAN ABACTOTES, DRENA, 1 cucharada de mantequilla, ½ taza leche, ? Copa de azúcar de los confitores, 2 cucharaditas de agua",337,40,6,17,30,1
879,Magdalenas de albaricoque,"1 taza de albaricoques secos picados, 1 taza de agua hirviendo, 2 tazas de harina para todo uso, ¾ taza de azúcar blanca, 1 cucharadita de bicarbonato de sodio, ½ cucharadita de sal, ¼ de taza de mantequilla derretida, ¼ de taza de aceite vegetal, 1 taza de suero de leche, 1 huevo",241,36,4,9,19,1
880,Chuletas de cerdo de albaricoque,"6 chuletas de cerdo, 1 (1 onza) Mezcla de sopa de cebolla seca, 10 onzas de aderezo de ensalada de estilo ruso, 1 taza de conservas de albaricoque",439,52,15,19,33,2
881,Albaricoque y glaseado de jamón de miel,"½ taza de mermelada de albaricoque, 3 cucharadas de miel, 1 cucharada de mostaza inglesa caliente, 2 cucharadas de mermelada de naranja",60,15,0,0,12,0
